省份,年份,月份,年月,供应链环节,样本量,均值,中位数,P75,P90,P95,最大值,lognormal_mu,lognormal_sigma,是否适合MonteCarlo模拟
不详,2023,11,2023-11,生产,1,43.5,43.5,43.5,43.5,43.5,43.5,,,不适合/样本不足
不详,2023,11,2023-11,餐饮,5,87.82000000000001,76.4,106.0,147.4,161.2,175.0,4.047081455866978,1.3335625689067425,可探索但样本偏少
不详,2023,12,2023-12,流通,33,151.3878787878788,96.5,190.0,326.6000000000001,465.3999999999997,962.0,4.474462885729559,1.0478778625327794,较适合
不详,2023,12,2023-12,生产,3,46.56666666666666,37.8,55.25,65.72,69.21,72.7,3.7642730654797503,0.470186785218678,可探索但样本偏少
不详,2023,12,2023-12,餐饮,4,30.6,30.05,34.75,36.1,36.55,37.0,3.407504536830627,0.18966381283378167,可探索但样本偏少
不详,2024,1,2024-01,流通,11,173.15454545454546,148.0,231.5,334.0,363.0,392.0,4.87063080045464,0.8775112907558978,较适合
不详,2024,1,2024-01,餐饮,2,178.0,178.0,206.0,222.8,228.4,234.0,5.12967108004548,0.46053869652582236,不适合/样本不足
不详,2024,2,2024-02,流通,11,185.43636363636364,92.5,236.0,470.0,485.0,500.0,4.898524302769847,0.8313083752282607,较适合
不详,2024,2,2024-02,餐饮,1,737.0,737.0,737.0,737.0,737.0,737.0,,,不适合/样本不足
不详,2024,3,2024-03,其他,2,125.75,125.75,161.875,183.55,190.775,198.0,4.633974342298248,0.9253095936915827,不适合/样本不足
不详,2024,3,2024-03,流通,10,92297.26999999999,657.0,31825.0,351099.99999999994,441549.99999999977,532000.0,7.652490220712494,3.726408955699207,较适合
不详,2024,4,2024-04,流通,17,102.2,69.0,128.0,236.40000000000003,283.59999999999997,302.0,4.313701335328177,0.7935789371939291,较适合
